city,hotel_name,tier,platform,score,nationality,trip_type,room_type,stay_nights,source_file,agoda_agg_score,booking_agg_score,is_asian_reviewer,is_solo,score_gap,nationality_known
Bali,Four Seasons Resort Bali at Sayan,Luxury,Agoda,10.0,Thailand,Solo traveler,One Bedroom Duplex Suite (1 King Size Bed),1,bali_a,9.1,9.6,1.0,1,-0.5,1
Bali,Four Seasons Resort Bali at Sayan,Luxury,Agoda,10.0,Malaysia,Solo traveler,One Bedroom Duplex Suite (1 King Size Bed),1,bali_a,9.1,9.6,1.0,1,-0.5,1
Bali,Four Seasons Resort Bali at Sayan,Luxury,Agoda,9.2,Indonesia,Family with young children,Family Suite with 1 King Size Bed and 2 Twin Beds,2,bali_a,9.1,9.6,1.0,0,-0.5,1
Bali,Four Seasons Resort Bali at Sayan,Luxury,Agoda,10.0,"Hong Kong SAR, China",Couple,One Bedroom Duplex Suite (1 King Size Bed),2,bali_a,9.1,9.6,0.0,0,-0.5,1
Bali,Four Seasons Resort Bali at Sayan,Luxury,Agoda,10.0,Thailand,Couple,One Bedroom Duplex Suite (1 King Size Bed),1,bali_a,9.1,9.6,1.0,0,-0.5,1
Bali,Four Seasons Resort Bali at Sayan,Luxury,Agoda,9.2,Singapore,Couple,One Bedroom Duplex Suite (1 King Size Bed),3,bali_a,9.1,9.6,1.0,0,-0.5,1
Bali,Four Seasons Resort Bali at Sayan,Luxury,Agoda,9.2,Italy,Couple,Unknown,5,bali_a,9.1,9.6,0.0,0,-0.5,1
Bali,Four Seasons Resort Bali at Sayan,Luxury,Agoda,10.0,Singapore,Group,Unknown,2,bali_a,9.1,9.6,1.0,0,-0.5,1
Bali,Four Seasons Resort Bali at Sayan,Luxury,Agoda,8.3,Brazil,Family with young children,Unknown,5,bali_a,9.1,9.6,0.0,0,-0.5,1
Bali,Four Seasons Resort Bali at Sayan,Luxury,Agoda,9.0,India,Couple,Unknown,4,bali_a,9.1,9.6,1.0,0,-0.5,1
Bali,Four Seasons Resort Bali at Sayan,Luxury,Agoda,10.0,South Korea,Couple,Unknown,2,bali_a,9.1,9.6,1.0,0,-0.5,1
Bali,Four Seasons Resort Bali at Sayan,Luxury,Agoda,10.0,Philippines,Couple,Unknown,1,bali_a,9.1,9.6,1.0,0,-0.5,1
Bali,Four Seasons Resort Bali at Sayan,Luxury,Agoda,8.3,Thailand,Couple,Unknown,1,bali_a,9.1,9.6,1.0,0,-0.5,1
