city,hotel_name,tier,hotel_id,platform,score,nationality,trip_type,room_type,stay_nights,source_file,agoda_agg_score,booking_agg_score,nationality_known,is_asian_reviewer,is_solo,score_gap
Bali,Four Seasons Resort Bali at Sayan,Luxury,4season_bali_atSayan,Agoda,10.0,Singapore,Group,Unknown,2,4season_bali_atSayan_a,9.1,9.5,1,1.0,0,-0.40000000000000036
Bali,Four Seasons Resort Bali at Sayan,Luxury,4season_bali_atSayan,Agoda,8.3,Brazil,Family with young children,Unknown,5,4season_bali_atSayan_a,9.1,9.5,1,0.0,0,-0.40000000000000036
Bali,Four Seasons Resort Bali at Sayan,Luxury,4season_bali_atSayan,Agoda,9.0,India,Couple,Unknown,4,4season_bali_atSayan_a,9.1,9.5,1,1.0,0,-0.40000000000000036
Bali,Four Seasons Resort Bali at Sayan,Luxury,4season_bali_atSayan,Agoda,10.0,South Korea,Couple,Unknown,2,4season_bali_atSayan_a,9.1,9.5,1,1.0,0,-0.40000000000000036
Bali,Four Seasons Resort Bali at Sayan,Luxury,4season_bali_atSayan,Agoda,10.0,Philippines,Couple,Unknown,1,4season_bali_atSayan_a,9.1,9.5,1,1.0,0,-0.40000000000000036
Bali,Four Seasons Resort Bali at Sayan,Luxury,4season_bali_atSayan,Agoda,8.3,Thailand,Couple,Unknown,1,4season_bali_atSayan_a,9.1,9.5,1,1.0,0,-0.40000000000000036
Bali,Four Seasons Resort Bali at Sayan,Luxury,4season_bali_atSayan,Agoda,10.0,United States,Business traveler,Unknown,6,4season_bali_atSayan_a,9.1,9.5,1,0.0,0,-0.40000000000000036
Bali,Four Seasons Resort Bali at Sayan,Luxury,4season_bali_atSayan,Agoda,9.3,"Hong Kong SAR, China",Family with young children,Unknown,3,4season_bali_atSayan_a,9.1,9.5,1,0.0,0,-0.40000000000000036
Bali,Four Seasons Resort Bali at Sayan,Luxury,4season_bali_atSayan,Agoda,9.0,"Hong Kong SAR, China",Family with young children,Unknown,1,4season_bali_atSayan_a,9.1,9.5,1,0.0,0,-0.40000000000000036
Bali,Four Seasons Resort Bali at Sayan,Luxury,4season_bali_atSayan,Agoda,6.0,Singapore,Business traveler,Unknown,1,4season_bali_atSayan_a,9.1,9.5,1,1.0,0,-0.40000000000000036
Bali,Four Seasons Resort Bali at Sayan,Luxury,4season_bali_atSayan,Agoda,7.7,Malaysia,Couple,Unknown,3,4season_bali_atSayan_a,9.1,9.5,1,1.0,0,-0.40000000000000036
Bali,Four Seasons Resort Bali at Sayan,Luxury,4season_bali_atSayan,Agoda,9.3,South Africa,Couple,Unknown,2,4season_bali_atSayan_a,9.1,9.5,1,0.0,0,-0.40000000000000036
Bali,Four Seasons Resort Bali at Sayan,Luxury,4season_bali_atSayan,Agoda,9.0,Canada,Solo traveler,Unknown,2,4season_bali_atSayan_a,9.1,9.5,1,0.0,1,-0.40000000000000036
Bali,Four Seasons Resort Bali at Sayan,Luxury,4season_bali_atSayan,Agoda,8.7,Indonesia,Group,Unknown,1,4season_bali_atSayan_a,9.1,9.5,1,1.0,0,-0.40000000000000036
Bali,Four Seasons Resort Bali at Sayan,Luxury,4season_bali_atSayan,Agoda,8.0,Saudi Arabia,Family with young children,Unknown,4,4season_bali_atSayan_a,9.1,9.5,1,0.0,0,-0.40000000000000036
Bali,Four Seasons Resort Bali at Sayan,Luxury,4season_bali_atSayan,Agoda,9.3,Australia,Couple,Unknown,4,4season_bali_atSayan_a,9.1,9.5,1,0.0,0,-0.40000000000000036
Bali,Four Seasons Resort Bali at Sayan,Luxury,4season_bali_atSayan,Agoda,7.0,Singapore,Solo traveler,Unknown,2,4season_bali_atSayan_a,9.1,9.5,1,1.0,1,-0.40000000000000036
Bali,Four Seasons Resort Bali at Sayan,Luxury,4season_bali_atSayan,Agoda,10.0,France,Couple,Unknown,3,4season_bali_atSayan_a,9.1,9.5,1,0.0,0,-0.40000000000000036
Bali,Four Seasons Resort Bali at Sayan,Luxury,4season_bali_atSayan,Agoda,10.0,Singapore,Couple,Unknown,2,4season_bali_atSayan_a,9.1,9.5,1,1.0,0,-0.40000000000000036
Bali,Four Seasons Resort Bali at Sayan,Luxury,4season_bali_atSayan,Agoda,9.3,Switzerland,Couple,Unknown,1,4season_bali_atSayan_a,9.1,9.5,1,0.0,0,-0.40000000000000036
Bali,Four Seasons Resort Bali at Sayan,Luxury,4season_bali_atSayan,Agoda,7.7,Singapore,Couple,Unknown,2,4season_bali_atSayan_a,9.1,9.5,1,1.0,0,-0.40000000000000036
Bali,Four Seasons Resort Bali at Sayan,Luxury,4season_bali_atSayan,Agoda,9.3,United States,Couple,Unknown,2,4season_bali_atSayan_a,9.1,9.5,1,0.0,0,-0.40000000000000036
Bali,Four Seasons Resort Bali at Sayan,Luxury,4season_bali_atSayan,Agoda,9.0,Netherlands,Couple,Unknown,1,4season_bali_atSayan_a,9.1,9.5,1,0.0,0,-0.40000000000000036
Bali,Four Seasons Resort Bali at Sayan,Luxury,4season_bali_atSayan,Agoda,9.0,Japan,Family with young children,Unknown,2,4season_bali_atSayan_a,9.1,9.5,1,1.0,0,-0.40000000000000036
Bali,Four Seasons Resort Bali at Sayan,Luxury,4season_bali_atSayan,Agoda,8.0,United States,Family with young children,Unknown,3,4season_bali_atSayan_a,9.1,9.5,1,0.0,0,-0.40000000000000036
Bali,Four Seasons Resort Bali at Sayan,Luxury,4season_bali_atSayan,Agoda,8.0,France,Couple,Unknown,3,4season_bali_atSayan_a,9.1,9.5,1,0.0,0,-0.40000000000000036
Bali,Four Seasons Resort Bali at Sayan,Luxury,4season_bali_atSayan,Agoda,9.0,Belgium,Couple,Unknown,3,4season_bali_atSayan_a,9.1,9.5,1,0.0,0,-0.40000000000000036
Bali,Four Seasons Resort Bali at Sayan,Luxury,4season_bali_atSayan,Agoda,10.0,Switzerland,Solo traveler,One-Bedroom Duplex Suite,7,4season_bali_atSayan_a,9.1,9.5,1,0.0,1,-0.40000000000000036
Bali,Four Seasons Resort Bali at Sayan,Luxury,4season_bali_atSayan,Agoda,10.0,Switzerland,Solo traveler,ONE BEDROOM DUPLEX SUITE KING DOUBLE TERRACES UPPER LEVEL LIVING ROOM,8,4season_bali_atSayan_a,9.1,9.5,1,0.0,1,-0.40000000000000036
Bali,Four Seasons Resort Bali at Sayan,Luxury,4season_bali_atSayan,Agoda,10.0,Netherlands,Couple,One-Bedroom Duplex Suite,2,4season_bali_atSayan_a,9.1,9.5,1,0.0,0,-0.40000000000000036
Bali,Four Seasons Resort Bali at Sayan,Luxury,4season_bali_atSayan,Agoda,10.0,Japan,Group,Unknown,1,4season_bali_atSayan_a,9.1,9.5,1,1.0,0,-0.40000000000000036
Bali,Four Seasons Resort Bali at Sayan,Luxury,4season_bali_atSayan,Agoda,8.7,Japan,Family with young children,Unknown,1,4season_bali_atSayan_a,9.1,9.5,1,1.0,0,-0.40000000000000036
Bali,Four Seasons Resort Bali at Sayan,Luxury,4season_bali_atSayan,Agoda,6.0,Japan,Business traveler,Unknown,2,4season_bali_atSayan_a,9.1,9.5,1,1.0,0,-0.40000000000000036
Bali,Four Seasons Resort Bali at Sayan,Luxury,4season_bali_atSayan,Agoda,6.0,Japan,Business traveler,Unknown,2,4season_bali_atSayan_a,9.1,9.5,1,1.0,0,-0.40000000000000036
Bali,Four Seasons Resort Bali at Sayan,Luxury,4season_bali_atSayan,Agoda,4.0,Japan,Group,Unknown,1,4season_bali_atSayan_a,9.1,9.5,1,1.0,0,-0.40000000000000036
Bali,Four Seasons Resort Bali at Sayan,Luxury,4season_bali_atSayan,Agoda,7.0,Japan,Couple,Unknown,2,4season_bali_atSayan_a,9.1,9.5,1,1.0,0,-0.40000000000000036
Bali,Four Seasons Resort Bali at Sayan,Luxury,4season_bali_atSayan,Agoda,10.0,Japan,Business traveler,Unknown,1,4season_bali_atSayan_a,9.1,9.5,1,1.0,0,-0.40000000000000036
Bali,Four Seasons Resort Bali at Sayan,Luxury,4season_bali_atSayan,Agoda,9.3,Japan,Family with teens,Unknown,2,4season_bali_atSayan_a,9.1,9.5,1,1.0,0,-0.40000000000000036
Bali,Four Seasons Resort Bali at Sayan,Luxury,4season_bali_atSayan,Agoda,7.3,Japan,Family with teens,Unknown,3,4season_bali_atSayan_a,9.1,9.5,1,1.0,0,-0.40000000000000036
Bali,Four Seasons Resort Bali at Sayan,Luxury,4season_bali_atSayan,Agoda,10.0,South Korea,Family with young children,One Bedroom Villa (2 Queen Beds),2,4season_bali_atSayan_a,9.1,9.5,1,1.0,0,-0.40000000000000036
Bali,Four Seasons Resort Bali at Sayan,Luxury,4season_bali_atSayan,Agoda,10.0,South Korea,Couple,One Bedroom Duplex Suite (1 King Size Bed),1,4season_bali_atSayan_a,9.1,9.5,1,1.0,0,-0.40000000000000036
Bali,Four Seasons Resort Bali at Sayan,Luxury,4season_bali_atSayan,Agoda,8.7,China,Family with young children,Unknown,2,4season_bali_atSayan_a,9.1,9.5,1,1.0,0,-0.40000000000000036
Bali,Four Seasons Resort Bali at Sayan,Luxury,4season_bali_atSayan,Agoda,7.3,China,Couple,Unknown,2,4season_bali_atSayan_a,9.1,9.5,1,1.0,0,-0.40000000000000036
Bali,Four Seasons Resort Bali at Sayan,Luxury,4season_bali_atSayan,Agoda,8.3,China,Family with young children,Unknown,3,4season_bali_atSayan_a,9.1,9.5,1,1.0,0,-0.40000000000000036
Bali,Four Seasons Resort Bali at Sayan,Luxury,4season_bali_atSayan,Agoda,9.7,China,Couple,Unknown,1,4season_bali_atSayan_a,9.1,9.5,1,1.0,0,-0.40000000000000036
Bali,Four Seasons Resort Bali at Sayan,Luxury,4season_bali_atSayan,Agoda,9.7,China,Business traveler,Unknown,1,4season_bali_atSayan_a,9.1,9.5,1,1.0,0,-0.40000000000000036
Bali,Four Seasons Resort Bali at Sayan,Luxury,4season_bali_atSayan,Agoda,8.7,China,Couple,Unknown,2,4season_bali_atSayan_a,9.1,9.5,1,1.0,0,-0.40000000000000036
Bali,Four Seasons Resort Bali at Sayan,Luxury,4season_bali_atSayan,Agoda,10.0,Indonesia,Couple,Unknown,3,4season_bali_atSayan_a,9.1,9.5,1,1.0,0,-0.40000000000000036
Bali,Four Seasons Resort Bali at Sayan,Luxury,4season_bali_atSayan,Agoda,10.0,Saudi Arabia,Couple,Riverfront One Bedroom Villa (1 King Size Bed),3,4season_bali_atSayan_a,9.1,9.5,1,0.0,0,-0.40000000000000036
Bali,Four Seasons Resort Bali at Sayan,Luxury,4season_bali_atSayan,Agoda,10.0,Saudi Arabia,Family with young children,Unknown,2,4season_bali_atSayan_a,9.1,9.5,1,0.0,0,-0.40000000000000036
Bali,Four Seasons Resort Bali at Sayan,Luxury,4season_bali_atSayan,Agoda,9.7,Saudi Arabia,Couple,Unknown,2,4season_bali_atSayan_a,9.1,9.5,1,0.0,0,-0.40000000000000036
Bali,Four Seasons Resort Bali at Sayan,Luxury,4season_bali_atSayan,Agoda,10.0,Vietnam,Couple,One Bedroom Duplex Suite (1 King Size Bed),1,4season_bali_atSayan_a,9.1,9.5,1,1.0,0,-0.40000000000000036
Bali,Four Seasons Resort Bali at Sayan,Luxury,4season_bali_atSayan,Agoda,6.7,Taiwan,Family with teens,Unknown,2,4season_bali_atSayan_a,9.1,9.5,1,1.0,0,-0.40000000000000036
Bali,Four Seasons Resort Bali at Sayan,Luxury,4season_bali_atSayan,Agoda,9.0,Taiwan,Solo traveler,Unknown,1,4season_bali_atSayan_a,9.1,9.5,1,1.0,1,-0.40000000000000036
Bali,Four Seasons Resort Bali at Sayan,Luxury,4season_bali_atSayan,Agoda,8.7,Taiwan,Couple,Unknown,1,4season_bali_atSayan_a,9.1,9.5,1,1.0,0,-0.40000000000000036
Bali,Four Seasons Resort Bali at Sayan,Luxury,4season_bali_atSayan,Agoda,8.3,Taiwan,Family with teens,Unknown,2,4season_bali_atSayan_a,9.1,9.5,1,1.0,0,-0.40000000000000036
Bali,Four Seasons Resort Bali at Sayan,Luxury,4season_bali_atSayan,Agoda,7.3,Taiwan,Family with teens,Unknown,2,4season_bali_atSayan_a,9.1,9.5,1,1.0,0,-0.40000000000000036
Bali,Four Seasons Resort Bali at Sayan,Luxury,4season_bali_atSayan,Agoda,10.0,Taiwan,Couple,Unknown,1,4season_bali_atSayan_a,9.1,9.5,1,1.0,0,-0.40000000000000036
Bali,Four Seasons Resort Bali at Sayan,Luxury,4season_bali_atSayan,Agoda,10.0,United Kingdom,Family with teens,One Bedroom Duplex Suite (1 King Size Bed),2,4season_bali_atSayan_a,9.1,9.5,1,0.0,0,-0.40000000000000036
Bali,Four Seasons Resort Bali at Sayan,Luxury,4season_bali_atSayan,Booking.com,10.0,Romania,Family,One Bedroom Villa,4,4season_bali_atSayan_b,9.1,9.5,1,0.0,0,-0.40000000000000036
Bali,Four Seasons Resort Bali at Sayan,Luxury,4season_bali_atSayan,Booking.com,10.0,Turkey,Group,One Bedroom Villa,1,4season_bali_atSayan_b,9.1,9.5,1,0.0,0,-0.40000000000000036
Bali,Four Seasons Resort Bali at Sayan,Luxury,4season_bali_atSayan,Booking.com,9.0,Turkey,Family,One Bedroom Villa,2,4season_bali_atSayan_b,9.1,9.5,1,0.0,0,-0.40000000000000036
Bali,Four Seasons Resort Bali at Sayan,Luxury,4season_bali_atSayan,Booking.com,10.0,Germany,Family,One-Bedroom Duplex Suite,5,4season_bali_atSayan_b,9.1,9.5,1,0.0,0,-0.40000000000000036
Bali,Four Seasons Resort Bali at Sayan,Luxury,4season_bali_atSayan,Booking.com,10.0,Turkey,Solo traveler,One-Bedroom Duplex Suite,4,4season_bali_atSayan_b,9.1,9.5,1,0.0,1,-0.40000000000000036
Bali,Four Seasons Resort Bali at Sayan,Luxury,4season_bali_atSayan,Booking.com,10.0,India,Family,One-Bedroom Duplex Suite,3,4season_bali_atSayan_b,9.1,9.5,1,1.0,0,-0.40000000000000036
Bali,Four Seasons Resort Bali at Sayan,Luxury,4season_bali_atSayan,Booking.com,10.0,India,Solo traveler,One-Bedroom Duplex Suite,2,4season_bali_atSayan_b,9.1,9.5,1,1.0,1,-0.40000000000000036
Bali,Four Seasons Resort Bali at Sayan,Luxury,4season_bali_atSayan,Booking.com,10.0,Canada,Family,One Bedroom Villa,2,4season_bali_atSayan_b,9.1,9.5,1,0.0,0,-0.40000000000000036
Bali,Four Seasons Resort Bali at Sayan,Luxury,4season_bali_atSayan,Booking.com,10.0,Azerbaijan,Couple,One-Bedroom Duplex Suite,4,4season_bali_atSayan_b,9.1,9.5,1,0.0,0,-0.40000000000000036
Bali,Four Seasons Resort Bali at Sayan,Luxury,4season_bali_atSayan,Booking.com,10.0,Indonesia,Group,One-Bedroom Duplex Suite,2,4season_bali_atSayan_b,9.1,9.5,1,1.0,0,-0.40000000000000036
Bali,Four Seasons Resort Bali at Sayan,Luxury,4season_bali_atSayan,Booking.com,10.0,Saudi Arabia,Couple,One-Bedroom Duplex Suite,2,4season_bali_atSayan_b,9.1,9.5,1,0.0,0,-0.40000000000000036
Bali,Four Seasons Resort Bali at Sayan,Luxury,4season_bali_atSayan,Booking.com,10.0,Bulgaria,Couple,One Bedroom Villa,4,4season_bali_atSayan_b,9.1,9.5,1,0.0,0,-0.40000000000000036
Bali,Four Seasons Resort Bali at Sayan,Luxury,4season_bali_atSayan,Booking.com,10.0,United States,Couple,One Bedroom Villa,1,4season_bali_atSayan_b,9.1,9.5,1,0.0,0,-0.40000000000000036
Bali,Four Seasons Resort Bali at Sayan,Luxury,4season_bali_atSayan,Booking.com,10.0,United Arab Emirates,Family,Family Suite,3,4season_bali_atSayan_b,9.1,9.5,1,0.0,0,-0.40000000000000036
Bali,Four Seasons Resort Bali at Sayan,Luxury,4season_bali_atSayan,Booking.com,10.0,Kuwait,Family,One Bedroom Villa,5,4season_bali_atSayan_b,9.1,9.5,1,0.0,0,-0.40000000000000036
Bali,Four Seasons Resort Bali at Sayan,Luxury,4season_bali_atSayan,Booking.com,10.0,India,Couple,One-Bedroom Duplex Suite,3,4season_bali_atSayan_b,9.1,9.5,1,1.0,0,-0.40000000000000036
Bali,Four Seasons Resort Bali at Sayan,Luxury,4season_bali_atSayan,Booking.com,10.0,Spain,Couple,One Bedroom Villa,4,4season_bali_atSayan_b,9.1,9.5,1,0.0,0,-0.40000000000000036
Bali,Four Seasons Resort Bali at Sayan,Luxury,4season_bali_atSayan,Booking.com,10.0,United States,Couple,One-Bedroom Duplex Suite,2,4season_bali_atSayan_b,9.1,9.5,1,0.0,0,-0.40000000000000036
Bali,Four Seasons Resort Bali at Sayan,Luxury,4season_bali_atSayan,Booking.com,8.0,United States,Family,One-Bedroom Duplex Suite,4,4season_bali_atSayan_b,9.1,9.5,1,0.0,0,-0.40000000000000036
Bali,Four Seasons Resort Bali at Sayan,Luxury,4season_bali_atSayan,Booking.com,9.0,United Arab Emirates,Couple,One-Bedroom Duplex Suite,1,4season_bali_atSayan_b,9.1,9.5,1,0.0,0,-0.40000000000000036
Bali,Four Seasons Resort Bali at Sayan,Luxury,4season_bali_atSayan,Booking.com,10.0,Turkey,Family,Family Suite,6,4season_bali_atSayan_b,9.1,9.5,1,0.0,0,-0.40000000000000036
Bali,Four Seasons Resort Bali at Sayan,Luxury,4season_bali_atSayan,Booking.com,10.0,Sweden,Family,One-Bedroom Duplex Suite,3,4season_bali_atSayan_b,9.1,9.5,1,0.0,0,-0.40000000000000036
Bali,Four Seasons Resort Bali at Sayan,Luxury,4season_bali_atSayan,Booking.com,10.0,Saudi Arabia,Family,One Bedroom Villa,3,4season_bali_atSayan_b,9.1,9.5,1,0.0,0,-0.40000000000000036
Bali,Four Seasons Resort Bali at Sayan,Luxury,4season_bali_atSayan,Booking.com,10.0,Saudi Arabia,Couple,One Bedroom Villa,3,4season_bali_atSayan_b,9.1,9.5,1,0.0,0,-0.40000000000000036
Bali,Four Seasons Resort Bali at Sayan,Luxury,4season_bali_atSayan,Booking.com,10.0,United States,Couple,Riverfront One Bedroom Villa,4,4season_bali_atSayan_b,9.1,9.5,1,0.0,0,-0.40000000000000036
Bali,Four Seasons Resort Bali at Sayan,Luxury,4season_bali_atSayan,Booking.com,10.0,Turkey,Couple,Riverfront One Bedroom Villa,3,4season_bali_atSayan_b,9.1,9.5,1,0.0,0,-0.40000000000000036
Bali,Four Seasons Resort Bali at Sayan,Luxury,4season_bali_atSayan,Booking.com,10.0,Saudi Arabia,Family,One-Bedroom Duplex Suite,4,4season_bali_atSayan_b,9.1,9.5,1,0.0,0,-0.40000000000000036
Bali,Four Seasons Resort Bali at Sayan,Luxury,4season_bali_atSayan,Booking.com,10.0,Italy,Family,One-Bedroom Duplex Suite,4,4season_bali_atSayan_b,9.1,9.5,1,0.0,0,-0.40000000000000036
Bali,Four Seasons Resort Bali at Sayan,Luxury,4season_bali_atSayan,Booking.com,10.0,United Kingdom,Family,Family Suite,4,4season_bali_atSayan_b,9.1,9.5,1,0.0,0,-0.40000000000000036
Bali,Four Seasons Resort Bali at Sayan,Luxury,4season_bali_atSayan,Booking.com,10.0,Russia,Solo traveler,One-Bedroom Duplex Suite,1,4season_bali_atSayan_b,9.1,9.5,1,0.0,1,-0.40000000000000036
Bali,Four Seasons Resort Bali at Sayan,Luxury,4season_bali_atSayan,Booking.com,10.0,Luxembourg,Family,One Bedroom Villa,4,4season_bali_atSayan_b,9.1,9.5,1,0.0,0,-0.40000000000000036
Bali,Four Seasons Resort Bali at Sayan,Luxury,4season_bali_atSayan,Booking.com,10.0,France,Couple,One-Bedroom Duplex Suite,4,4season_bali_atSayan_b,9.1,9.5,1,0.0,0,-0.40000000000000036
Bali,Four Seasons Resort Bali at Sayan,Luxury,4season_bali_atSayan,Booking.com,10.0,United Kingdom,Group,One-Bedroom Duplex Suite,1,4season_bali_atSayan_b,9.1,9.5,1,0.0,0,-0.40000000000000036
Bali,Four Seasons Resort Bali at Sayan,Luxury,4season_bali_atSayan,Booking.com,9.0,Turkey,Couple,One Bedroom Villa with Two Queen Beds,3,4season_bali_atSayan_b,9.1,9.5,1,0.0,0,-0.40000000000000036
Bali,Four Seasons Resort Bali at Sayan,Luxury,4season_bali_atSayan,Booking.com,10.0,United Arab Emirates,Family,Riverfront One Bedroom Villa,2,4season_bali_atSayan_b,9.1,9.5,1,0.0,0,-0.40000000000000036
Bali,Four Seasons Resort Bali at Sayan,Luxury,4season_bali_atSayan,Booking.com,9.0,Canada,Family,River-View Two Bedroom Villa,3,4season_bali_atSayan_b,9.1,9.5,1,0.0,0,-0.40000000000000036
Bali,Four Seasons Resort Bali at Sayan,Luxury,4season_bali_atSayan,Booking.com,10.0,Hong Kong,Family,One Bedroom Villa with Two Queen Beds,3,4season_bali_atSayan_b,9.1,9.5,1,1.0,0,-0.40000000000000036
Bali,Four Seasons Resort Bali at Sayan,Luxury,4season_bali_atSayan,Booking.com,10.0,Croatia,Family,Family Suite,4,4season_bali_atSayan_b,9.1,9.5,1,0.0,0,-0.40000000000000036
Bali,Four Seasons Resort Bali at Sayan,Luxury,4season_bali_atSayan,Booking.com,10.0,France,Couple,One-Bedroom Duplex Suite,3,4season_bali_atSayan_b,9.1,9.5,1,0.0,0,-0.40000000000000036
Bali,Four Seasons Resort Bali at Sayan,Luxury,4season_bali_atSayan,Booking.com,10.0,United Kingdom,Family,Family Suite,3,4season_bali_atSayan_b,9.1,9.5,1,0.0,0,-0.40000000000000036
Bali,Four Seasons Resort Bali at Sayan,Luxury,4season_bali_atSayan,Booking.com,9.0,Taiwan,Family,Family Suite,2,4season_bali_atSayan_b,9.1,9.5,1,1.0,0,-0.40000000000000036
